school_id,academic_year,grade_level,gender,student_count
SCH_0022,2022,12.0,F,
SCH_0062,2020,,F,123.0
SCH_0065,2023,4.0,Male,
SCH_0120,2023,7.0,Male,38.0
SCH_0118,2020,12.0,Male,
SCH_0079,2022,1.0,M,
SCH_0089,2019,11.0,M,22.0
SCH_0095,2019,2.0,Male,78.0
SCH_0071,2024,6.0,F,82.0
SCH_0024,2024,1.0,F,130.0
SCH_0010,2020,4.0,Male,
SCH_0072,2022,4.0,M,138.0
SCH_0114,2023,7.0,M,
SCH_0065,2022,6.0,F,
SCH_0004,2019,3.0,F,
SCH_0009,2023,10.0,Female,
SCH_0072,2023,2.0,Female,105.0
SCH_0081,2021,6.0,M,
SCH_0032,2019,3.0,Male,138.0
SCH_0100,2022,6.0,Female,107.0
SCH_0087,2023,11.0,Female,72.0
SCH_0095,2023,1.0,M,
SCH_0086,2020,4.0,Female,91.0
SCH_0057,2022,,F,
SCH_0007,2021,11.0,M,
SCH_0032,2020,7.0,Male,
SCH_0083,2020,3.0,F,
SCH_0018,2024,9.0,F,23.0
SCH_0116,2021,,Female,
SCH_0077,2022,8.0,F,59.0
SCH_0069,2023,5.0,Female,118.0
SCH_0049,2024,3.0,Male,
SCH_0083,2020,10.0,F,
SCH_0097,2020,3.0,Female,
SCH_0013,2020,1.0,F,120.0
SCH_0010,2019,11.0,M,
SCH_0069,2021,7.0,F,133.0
SCH_0080,2020,3.0,Female,
SCH_0026,2024,12.0,Male,97.0
SCH_0102,2019,7.0,F,130.0
SCH_0051,2023,3.0,Female,
SCH_0096,2019,4.0,F,
SCH_0093,2021,9.0,F,93.0
SCH_0070,2023,1.0,M,
SCH_0038,2024,10.0,Female,
SCH_0026,2021,2.0,M,
SCH_0014,2019,11.0,Male,
SCH_0065,2023,1.0,F,
SCH_0113,2022,2.0,Female,23.0
SCH_0085,2022,1.0,Female,
SCH_0093,2022,8.0,Female,
SCH_0042,2022,4.0,Male,
SCH_0023,2022,6.0,Female,
SCH_0081,2024,,M,
SCH_0118,2022,7.0,M,
SCH_0106,2023,12.0,Male,
SCH_0026,2021,7.0,Female,31.0
SCH_0011,2023,5.0,F,
SCH_0014,2020,12.0,F,
SCH_0048,2024,10.0,Female,53.0
SCH_0004,2021,9.0,M,140.0
SCH_0116,2024,9.0,Female,
SCH_0092,2022,3.0,F,
SCH_0056,2022,10.0,M,105.0
SCH_0086,2022,10.0,M,32.0
SCH_0028,2019,6.0,M,22.0
SCH_0065,2023,1.0,F,
SCH_0090,2022,4.0,Male,140.0
SCH_0013,2021,4.0,F,67.0
SCH_0048,2020,3.0,F,87.0
SCH_0040,2020,7.0,F,132.0
SCH_0029,2023,,F,133.0
SCH_0085,2023,2.0,Male,75.0
SCH_0020,2019,8.0,F,
SCH_0020,2021,3.0,M,
SCH_0082,2024,1.0,Male,105.0
SCH_0024,2023,2.0,Female,
