school_id,academic_year,grade_level,average_score,attendance_percentage,dropout_risk_flag
SCH_0005,2019,6.0,,,
SCH_0109,2019,8.0,,61.66,
SCH_0076,2023,6.0,,73.0,
SCH_0049,2021,,,89.37,
SCH_0051,2020,10.0,59.8,89.28,0.0
SCH_0079,2021,11.0,76.62,61.09,1.0
SCH_0040,2022,,48.26,63.13,1.0
SCH_0025,2019,,83.5,,
SCH_0069,2021,6.0,,92.31,
SCH_0100,2023,9.0,84.16,62.42,1.0
SCH_0117,2022,8.0,,,
SCH_0080,2020,5.0,69.22,86.26,0.0
SCH_0114,2022,5.0,,82.89,
SCH_0032,2021,3.0,54.81,74.57,0.0
SCH_0104,2022,,45.65,,
SCH_0031,2019,10.0,,,
SCH_0040,2021,4.0,,80.1,
SCH_0012,2019,7.0,,,
SCH_0098,2021,,42.17,,
SCH_0111,2020,11.0,,,
SCH_0020,2023,10.0,,,
SCH_0044,2023,7.0,80.84,82.73,0.0
SCH_0100,2022,9.0,,99.3,
SCH_0003,2023,3.0,77.49,98.88,0.0
SCH_0044,2024,9.0,50.29,,
SCH_0051,2021,5.0,71.04,88.88,0.0
SCH_0020,2020,8.0,41.88,,
SCH_0097,2021,9.0,,69.05,
SCH_0050,2024,8.0,63.4,92.45,0.0
SCH_0102,2023,6.0,,86.59,
SCH_0052,2021,9.0,,,
SCH_0108,2022,4.0,43.12,77.5,1.0
SCH_0012,2019,12.0,,,
SCH_0007,2020,1.0,63.68,80.3,0.0
SCH_0023,2024,2.0,,,
SCH_0082,2022,,,90.51,
SCH_0006,2019,8.0,88.76,,
SCH_0087,2021,10.0,,62.39,
SCH_0018,2020,,,68.2,
SCH_0010,2024,,,,
SCH_0078,2020,5.0,,83.75,
SCH_0067,2019,6.0,,79.6,
SCH_0074,2019,6.0,,,
SCH_0017,2019,10.0,,,
SCH_0108,2019,2.0,,,
SCH_0069,2020,12.0,87.19,79.63,0.0
SCH_0082,2021,3.0,,74.94,
SCH_0049,2022,3.0,60.07,67.61,1.0
SCH_0056,2021,8.0,,98.66,
SCH_0108,2023,11.0,84.62,61.82,1.0
SCH_0080,2021,10.0,,84.6,
SCH_0064,2020,4.0,,,
SCH_0051,2020,2.0,,,
SCH_0110,2023,2.0,,85.72,
SCH_0101,2023,3.0,64.84,,
SCH_0058,2024,11.0,59.94,,
SCH_0119,2020,3.0,,,
SCH_0102,2021,7.0,47.41,62.73,1.0
SCH_0005,2022,5.0,,74.65,
SCH_0104,2019,11.0,92.33,,
SCH_0115,2021,4.0,45.91,74.23,1.0
SCH_0043,2019,12.0,73.16,,
SCH_0005,2022,5.0,,71.84,
SCH_0076,2019,2.0,,,
SCH_0023,2024,7.0,86.52,87.12,0.0
SCH_0097,2022,3.0,55.22,91.34,0.0
SCH_0018,2020,8.0,44.92,,
SCH_0036,2019,12.0,84.67,83.9,0.0
SCH_0109,2020,11.0,91.78,64.13,1.0
SCH_0088,2019,8.0,92.81,,
SCH_0062,2020,2.0,69.22,,
SCH_0093,2022,11.0,,,
SCH_0041,2020,8.0,94.7,96.77,0.0
SCH_0013,2022,12.0,,,
SCH_0065,2024,,61.15,95.34,0.0
SCH_0016,2022,10.0,,79.23,
SCH_0086,2020,3.0,87.66,85.45,0.0
SCH_0068,2021,4.0,72.78,72.73,0.0
SCH_0100,2022,12.0,62.17,79.38,0.0
SCH_0113,2022,11.0,,,
SCH_0046,2019,5.0,64.82,78.16,0.0
SCH_0017,2023,5.0,,75.45,
SCH_0059,2020,9.0,,92.66,
SCH_0034,2023,5.0,,,
SCH_0075,2021,11.0,,,
SCH_0079,2024,1.0,,76.28,
SCH_0069,2021,9.0,91.12,,
SCH_0044,2023,12.0,49.81,,
SCH_0044,2021,7.0,,61.52,
SCH_0060,2023,1.0,,,
SCH_0068,2020,7.0,50.66,60.59,1.0
SCH_0030,2021,1.0,,90.04,
SCH_0094,2023,5.0,83.34,,
SCH_0089,2023,6.0,49.17,84.49,1.0
SCH_0112,2022,7.0,,,
SCH_0045,2023,3.0,88.86,,
SCH_0035,2020,5.0,64.37,,
SCH_0040,2022,3.0,77.62,,
SCH_0094,2023,10.0,,,
SCH_0047,2020,4.0,,73.17,
SCH_0051,2023,3.0,,77.36,
SCH_0120,2023,12.0,,78.54,
SCH_0037,2021,,,,
SCH_0078,2023,12.0,,,
SCH_0020,2020,,79.62,,
SCH_0110,2023,2.0,,80.05,
SCH_0040,2022,8.0,,75.93,
SCH_0062,2019,9.0,,,
SCH_0105,2023,8.0,63.63,,
SCH_0112,2020,6.0,,86.31,
SCH_0090,2024,8.0,,,
SCH_0048,2022,6.0,,72.97,
SCH_0001,2020,6.0,,98.4,
